21
# x y z
-15	0	0
-13.5	0	0
-12	0	0
-10.5	0	0
-9	0	0
-7.5	0	0
-6	0	0
-4.5	0	0
-3	0	0
-1.5	0	0
0	0	0
1.5	0	0
3	0	0
4.5	0	0
6	0	0
7.5	0	0
9	0	0
10.5	0	0
12	0	0
13.5	0	0
15	0	0
90
# a b m n err i ip iperr k r rhoa u valid 
1	14	7	8	1.00020393628549e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.97920337176157e+02	0.00000000000000e+00	9.62825934978229e+01	0.00000000000000e+00	1
2	15	8	9	1.00019876195943e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.97920337176157e+02	0.00000000000000e+00	1.00344637335705e+02	0.00000000000000e+00	1
3	16	9	10	1.00019795591643e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.97920337176157e+02	0.00000000000000e+00	9.80313134330363e+01	0.00000000000000e+00	1
4	17	10	11	1.00020417067898e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.97920337176157e+02	0.00000000000000e+00	9.56840158768529e+01	0.00000000000000e+00	1
5	18	11	12	1.00022611661217e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.97920337176157e+02	0.00000000000000e+00	8.65903362890118e+01	0.00000000000000e+00	1
6	19	12	13	1.00027726461808e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.97920337176157e+02	0.00000000000000e+00	7.14051072578585e+01	0.00000000000000e+00	1
7	20	13	14	1.00029731361630e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.97920337176157e+02	0.00000000000000e+00	6.70850245627742e+01	0.00000000000000e+00	1
8	21	14	15	1.00027328473458e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.97920337176157e+02	0.00000000000000e+00	7.17914945554971e+01	0.00000000000000e+00	1
1	16	8	9	1.00025780404538e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.63893782901543e+02	0.00000000000000e+00	1.02532474691154e+02	0.00000000000000e+00	1
2	17	9	10	1.00025992236854e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.63893782901543e+02	0.00000000000000e+00	1.02173595209893e+02	0.00000000000000e+00	1
3	18	10	11	1.00027180970287e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.63893782901543e+02	0.00000000000000e+00	9.81381536580832e+01	0.00000000000000e+00	1
4	19	11	12	1.00030556858591e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.63893782901543e+02	0.00000000000000e+00	8.61172728143584e+01	0.00000000000000e+00	1
5	20	12	13	1.00038071233361e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.63893782901543e+02	0.00000000000000e+00	7.03939195071644e+01	0.00000000000000e+00	1
6	21	13	14	1.00040745172670e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.63893782901543e+02	0.00000000000000e+00	6.42107570210656e+01	0.00000000000000e+00	1
1	18	9	10	1.00033347725591e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.39292006587698e+02	0.00000000000000e+00	1.01459050839122e+02	0.00000000000000e+00	1
2	19	10	11	1.00035118473606e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.39292006587698e+02	0.00000000000000e+00	9.65309807401179e+01	0.00000000000000e+00	1
3	20	11	12	1.00039823536807e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.39292006587698e+02	0.00000000000000e+00	8.50116940276641e+01	0.00000000000000e+00	1
4	21	12	13	1.00050250527780e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.39292006587698e+02	0.00000000000000e+00	6.60517348007691e+01	0.00000000000000e+00	1
1	20	10	11	1.00044258305022e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	4.24115008234622e+02	0.00000000000000e+00	9.66961118622030e+01	0.00000000000000e+00	1
